Pclass,Age,Fare
3,29.69911764705882,22.3583
3,17.0,7.2292
3,26.0,18.7875
3,29.0,7.0458
3,29.69911764705882,7.8792
2,23.0,13.0
2,24.0,13.0
3,51.0,8.05
3,30.0,24.15
3,19.0,7.65
1,29.69911764705882,25.925
3,34.0,8.05
1,62.0,26.55
3,29.69911764705882,7.8958
1,25.0,151.55
3,42.0,7.65
3,29.69911764705882,7.75
3,43.0,8.05
3,17.0,8.6625
2,23.0,13.7917
1,31.0,164.8667
1,52.0,93.5
3,29.69911764705882,8.05
3,15.0,8.0292
3,9.0,27.9
3,40.0,7.225
3,23.5,7.2292
1,54.0,51.8625
2,33.0,12.275
3,48.0,34.375
2,18.0,11.5
3,22.0,7.225
3,29.69911764705882,69.55
3,9.0,31.275
3,4.0,11.1333
2,34.0,13.0
1,30.0,106.425
2,4.0,39.0
3,29.69911764705882,7.55
3,47.0,14.5
2,60.0,39.0
3,36.0,7.4958
3,21.0,7.65
3,21.0,7.775
3,40.5,7.75
3,29.69911764705882,8.05
3,29.69911764705882,25.4667
3,5.0,31.3875
3,24.0,16.7
1,42.0,52.5542
3,29.69911764705882,69.55
3,28.0,15.85
1,49.0,76.7292
2,29.69911764705882,13.0
1,32.0,76.2917
2,28.0,33.0
3,19.0,14.5
2,31.0,26.25
2,36.0,10.5
2,52.0,13.5
3,33.0,9.5
3,1.0,39.6875
3,18.0,7.4958
3,18.0,6.75
1,51.0,77.9583
1,29.69911764705882,29.7
1,61.0,32.3208
3,19.0,8.1583
2,18.0,13.0
1,28.0,35.5
3,21.0,7.7333
3,50.0,8.05
2,54.0,26.0
3,16.0,8.05
1,47.0,38.5
3,30.0,16.1
2,23.0,13.0
2,23.0,11.5
1,63.0,77.9583
2,28.0,10.5
3,29.69911764705882,14.5
3,16.0,46.9
1,34.0,26.55
1,24.0,263.0
3,3.0,21.075
3,29.69911764705882,19.9667
3,28.0,7.8958
2,50.0,13.0
3,29.69911764705882,7.25
3,27.0,12.475
1,33.0,53.1
3,32.0,8.05
3,33.0,7.8958
2,27.0,13.0
3,29.69911764705882,8.05
3,19.0,10.1708
3,29.69911764705882,7.8958
2,40.0,13.0
3,32.0,7.925
3,38.0,31.3875
1,30.0,56.9292
3,22.0,9.35
1,27.0,76.7292
3,29.69911764705882,16.1
3,29.69911764705882,7.25
2,35.0,10.5
3,4.0,27.9
1,44.0,90.0
2,18.0,73.5
1,58.0,113.275
3,29.69911764705882,7.75
3,32.0,7.75
3,17.0,7.0542
2,19.0,10.5
2,24.0,18.75
2,47.0,15.0
1,45.0,26.55
1,29.69911764705882,52.0
3,29.69911764705882,7.55
3,31.0,7.775
3,20.0,7.8542
1,53.0,51.4792
3,31.0,8.6833
3,29.69911764705882,7.8958
3,16.0,7.7333
1,15.0,211.3375
3,29.69911764705882,7.8292
2,45.0,13.5
3,29.0,9.5
1,62.0,26.55
2,18.0,11.5
2,54.0,14.0
3,24.0,7.8958
1,80.0,30.0
3,28.0,9.5
3,30.0,8.05
3,29.69911764705882,14.4542
1,61.0,33.5
2,24.0,26.0
1,56.0,30.6958
1,29.69911764705882,26.55
1,29.69911764705882,30.0
1,36.0,71.0
1,43.0,211.3375
3,24.0,7.1417
3,20.0,15.7417
3,14.0,7.8542
1,39.0,55.9
3,18.0,7.775
3,28.0,22.525
1,52.0,78.2667
2,32.0,10.5
1,50.0,28.7125
3,7.0,29.125
1,23.0,63.3583
3,23.0,9.225
3,20.0,7.8542
3,22.0,7.75
1,29.69911764705882,227.525
2,0.83,29.0
3,28.0,56.4958
1,49.0,56.9292
3,29.69911764705882,7.775
3,29.69911764705882,56.4958
3,29.69911764705882,7.75
3,21.0,7.8542
2,36.0,13.0
3,21.0,7.75
3,16.0,18.0
1,29.69911764705882,31.0
2,8.0,36.75
1,56.0,83.1583
3,20.0,9.825
3,29.69911764705882,7.7375
1,29.69911764705882,110.8833
2,25.0,13.0
3,30.5,7.75
2,41.0,19.5
2,29.69911764705882,13.8625
2,32.5,13.0
3,21.0,9.825
1,62.0,80.0
3,29.69911764705882,7.75
2,19.0,26.0
3,29.69911764705882,7.225
2,24.0,65.0
3,29.69911764705882,23.25
1,0.92,151.55
3,21.0,7.7958
3,44.0,8.05
2,28.0,13.5
3,29.69911764705882,7.8958
3,28.0,7.7958
3,18.0,7.7958
2,36.0,13.0
3,29.69911764705882,23.45
1,24.0,49.5042
3,14.0,11.2417
1,17.0,110.8833
3,0.75,19.2583
1,29.69911764705882,26.55
1,40.0,31.0
1,24.0,247.5208
3,9.0,31.3875
3,20.0,9.225
2,54.0,26.0
3,19.0,7.8958
3,30.0,7.225
3,40.0,15.5
1,40.0,27.7208
3,20.0,7.925
1,36.0,120.0
3,27.0,14.4542
1,38.0,153.4625
3,6.0,31.275
3,59.0,7.25
3,40.5,14.5
1,36.0,78.85
1,24.0,69.3
3,35.0,7.125
3,27.0,7.8958
3,33.0,7.8958
2,16.0,26.0
2,24.0,14.5
1,31.0,113.275
3,29.0,8.05
3,8.0,29.125
3,18.0,14.4542
1,36.0,26.2875
2,25.0,30.0
1,35.0,135.6333
3,19.0,8.05
3,10.0,27.9
3,0.75,19.2583
3,29.69911764705882,15.5
2,34.0,13.0
3,16.0,7.75
3,29.0,21.075
1,50.0,55.9
2,28.0,13.0
1,31.0,50.4958
3,18.0,9.8417
3,20.0,9.5
3,32.0,15.5
2,19.0,26.0
3,3.0,31.3875
2,39.0,13.0
3,45.5,7.225
3,29.69911764705882,8.6625
2,50.0,26.0
3,29.69911764705882,24.15
2,3.0,26.0
3,32.0,15.85
3,42.0,8.4042
3,32.0,8.3625
1,35.0,53.1
3,29.69911764705882,7.05
3,29.69911764705882,8.05
3,36.0,15.55
1,58.0,29.7
2,13.0,19.5
1,49.0,89.1042
3,20.0,7.05
3,25.0,17.8
3,29.0,7.875
2,24.0,10.5
3,34.0,14.4
3,25.0,7.775
3,29.69911764705882,8.05
1,24.0,79.2
2,29.0,26.0
3,16.0,9.2167
2,34.0,26.0
3,30.0,7.8958
1,50.0,247.5208
3,29.69911764705882,56.4958
3,29.69911764705882,7.225
1,21.0,77.2875
3,43.0,6.45
1,45.0,83.475
3,20.0,8.6625
1,29.69911764705882,27.7208
2,25.0,26.0
3,26.0,7.8958
3,29.69911764705882,69.55
3,21.0,8.05
3,41.0,39.6875
2,24.0,13.0
2,24.0,73.5
2,29.69911764705882,33.0
3,17.0,7.925
3,11.0,46.9
1,39.0,110.8833
2,31.0,13.0
3,23.0,7.8542
3,31.0,20.525
1,16.0,86.5
3,20.0,9.8458
3,29.69911764705882,7.75
1,48.0,25.9292
2,50.0,10.5
1,29.69911764705882,82.1708
2,34.0,21.0
3,18.0,17.8
3,48.0,7.8542
2,22.0,29.0
1,29.69911764705882,50.0
2,43.0,26.25
2,7.0,26.25
1,35.0,52.0
1,39.0,79.65
3,26.0,14.4542
2,27.0,21.0
1,29.69911764705882,79.2
3,33.0,8.6625
1,28.0,47.1
3,21.0,16.1
2,35.0,21.0
3,2.0,12.2875
3,38.0,7.8958
3,28.5,16.1
3,26.0,20.575
3,29.69911764705882,15.1
3,29.69911764705882,24.15
1,46.0,79.2
3,32.0,7.8542
1,33.0,90.0
1,29.69911764705882,89.1042
1,47.0,52.5542
3,19.0,7.775
1,36.0,26.3875
3,19.0,7.8958
3,22.0,7.75
3,29.69911764705882,7.75
1,29.69911764705882,0.0
3,5.0,12.475
3,33.0,8.6542
3,18.0,8.3
3,29.69911764705882,69.55
2,34.0,10.5
3,29.69911764705882,7.2292
2,70.0,10.5
3,29.69911764705882,7.75
3,27.0,11.1333
3,29.69911764705882,7.75
3,29.69911764705882,7.225
3,29.69911764705882,7.225
2,51.0,12.525
3,29.69911764705882,7.8958
1,50.0,106.425
1,48.0,52.0
3,29.69911764705882,7.75
1,30.0,31.0
3,29.69911764705882,69.55
3,34.0,6.4958
3,15.0,7.225
1,33.0,86.5
3,19.0,7.8958
3,39.0,7.925
1,29.69911764705882,35.5
2,54.0,23.0
3,29.69911764705882,16.1
1,33.0,5.0
2,34.0,32.5
2,31.0,10.5
2,30.0,13.0
3,61.0,6.2375
2,22.0,41.5792
2,3.0,18.75
1,26.0,78.85
2,30.0,12.35
1,29.69911764705882,30.5
3,25.0,7.7417
1,49.0,110.8833
2,30.0,21.0
3,24.0,7.05
3,20.0,7.925
3,25.0,7.65
3,16.0,39.6875
1,45.0,164.8667
2,30.0,13.0
3,9.0,20.525
3,16.0,9.5
3,29.69911764705882,7.75
1,4.0,81.8583
1,35.0,512.3292
3,63.0,9.5875
1,22.0,49.5
2,38.0,13.0
2,2.0,26.0
3,34.5,6.4375
2,44.0,26.0
3,15.0,14.4542
3,29.69911764705882,7.8792
3,41.0,20.2125
2,44.0,26.0
2,29.0,27.7208
3,21.0,7.8
1,31.0,57.0
1,40.0,0.0
3,20.0,4.0125
1,18.0,262.375
3,31.0,7.925
3,29.69911764705882,9.5
2,29.69911764705882,0.0
2,42.0,26.0
3,32.0,56.4958
3,22.0,7.2292
2,26.0,26.0
3,43.0,46.9
2,57.0,10.5
2,24.0,13.0
1,29.69911764705882,30.6958
3,29.69911764705882,7.725
1,64.0,263.0
2,66.0,10.5
3,22.0,9.0
1,19.0,30.0
3,70.5,7.75
2,21.0,11.5
1,45.5,28.5
3,22.0,7.775
3,22.0,7.7958
3,29.69911764705882,8.05
1,36.0,512.3292
3,16.0,34.375
3,39.0,31.275
1,2.0,151.55
3,18.0,7.775
1,39.0,0.0
3,9.0,15.9
2,27.0,26.0
3,29.69911764705882,7.2292
1,21.0,262.375
1,47.0,34.0208
3,22.0,7.5208
2,29.0,26.0
3,40.0,9.475
2,3.0,41.5792
3,29.69911764705882,7.8958
1,58.0,26.55
1,18.0,108.9
3,29.69911764705882,7.75
3,29.69911764705882,7.7375
3,11.0,18.7875
3,28.0,14.4
3,26.0,7.8875
1,50.0,133.65
3,9.0,46.9
3,29.69911764705882,69.55
1,29.69911764705882,55.0
3,24.0,8.05
3,35.0,7.05
2,33.0,27.75
3,29.69911764705882,21.6792
3,17.0,7.125
3,2.0,27.9
3,24.0,8.85
2,31.0,37.0042
1,48.0,26.55
1,19.0,26.2833
3,32.0,56.4958
3,29.69911764705882,8.05
3,29.69911764705882,7.75
3,14.5,14.4542
3,29.0,7.75
3,29.69911764705882,7.2292
3,28.5,7.2292
3,27.0,6.975
3,31.0,7.75
3,29.69911764705882,7.7875
1,24.0,83.1583
3,22.0,8.05
3,26.0,7.775
3,20.0,8.6625
3,26.0,7.8542
2,36.0,27.75
3,35.0,8.05
1,64.0,26.0
1,70.0,71.0
1,48.0,39.6
3,19.0,7.8542
3,36.0,0.0
1,47.0,52.0
2,42.0,13.0
3,20.5,7.25
1,19.0,91.0792
1,54.0,59.4
3,19.0,8.05
1,32.0,30.5
3,39.0,7.925
